queryNo|tables|conditions|subqueries|joins|paths|functions|total columns|used columns|query
1|1|1|0|0|3|0|3|1|SELECT category, name, value FROM config WHERE category = 'notify'
2|1|2|0|0|5|0|11|2|SELECT oauth_consumer.* FROM oauth_consumer  WHERE c_key = '' AND deleted=0 LIMIT 0,1
3|1|4|0|0|9|0|10|4|SELECT * FROM acl_actions WHERE name='access' AND category = 'Test' AND acltype='module' and deleted=0
4|2|4|0|1|10|0|43|5|SELECT meetings.* from meetings_users,meetings  WHERE  meetings_users.meeting_id=meetings.id AND meetings_users.user_id='1' AND meetings.deleted=0 AND meetings_users.deleted=0
5|2|4|0|1|8|0|17|5|SELECT addr.email_address FROM email_addresses addr,email_addr_bean_rel eb WHERE eb.deleted=0 AND addr.id=eb.email_address_id AND bean_id ='' AND primary_address = '1'
6|1|1|0|0|3|0|10|1| SELECT  currencies.*  FROM currencies  where currencies.deleted=0 ORDER BY currencies.name
7|2|2|0|1|5|0|36|3|SELECT documents.document_name, revision FROM documents, document_revisions where documents.id = 'dummy_id' AND document_revisions.id = documents.document_revision_id
8|1|1|0|0|3|0|18|1|SELECT id FROM outbound_email WHERE type = 'system'
9|1|1|0|0|3|0|5|1|SELECT account_id FROM accounts_contacts WHERE contact_id='2' LIMIT 0,1
10|1|2|0|0|4|0|11|2|SELECT id ,aos_product_categories.name as parent_category_name , aos_product_categories.assigned_user_id owner FROM aos_product_categories WHERE deleted=0 AND id='1'
11|1|1|0|0|2|0|32|1|SELECT name, assigned_user_id FROM project_task WHERE id='b73ad8f7-7e94-2e67-2afc-589c85f52879'
12|1|3|0|0|7|0|8|3|SELECT securitygroup_id id FROM securitygroups_records  WHERE securitygroups_records.record_id = '1c378ecd-b7a5-090b-22f2-589c85e94f55' AND securitygroups_records.module = 'AOS_Product_Categories' AND securitygroups_records.deleted=0
13|1|3|0|0|7|0|7|3|SELECT * FROM meetings_users WHERE deleted = '0'   AND user_id = ''  AND meeting_id = '259c2f1b-922d-ab63-b5d9-589c85cea2d8' 
14|1|1|0|0|2|0|39|1|SELECT first_name, last_name from contacts where id='1'
15|1|3|0|0|7|0|7|3|SELECT bean_id id FROM emails_beans  WHERE emails_beans.email_id = 'e3c8ca08-e16d-d18b-80c8-589c85b8ac4d' AND emails_beans.bean_module = 'ProjectTask' AND emails_beans.deleted=0
16|1|2|0|0|5|0|6|2|SELECT contact_id id FROM contacts_bugs  WHERE contacts_bugs.bug_id = '58800532-0e9d-ccaf-e85e-589c85722403' AND contacts_bugs.deleted=0
17|1|2|0|0|5|0|6|2|SELECT contact_id id FROM contacts_cases  WHERE contacts_cases.case_id = '610b3ee0-80df-4b8f-54d1-589c8545f8c6' AND contacts_cases.deleted=0
18|1|1|0|0|2|0|18|1|SELECT name from emails where id='1'
19|1|2|0|0|4|0|18|2|SELECT tasks.* FROM tasks  WHERE tasks.id = '8e5f042a-01a2-b1ab-53df-589c856d05a2' AND tasks.deleted=0 LIMIT 0,1
20|1|4|0|0|7|0|5|4|SELECT * FROM emails_email_addr_rel WHERE email_id = '1ad4af31-e3d0-6719-5d2e-589c85551559' AND email_address_id = 'af6b9271-77f5-ef26-042d-589c810cf7e9' AND address_type = 'from' AND deleted = 0
21|1|2|0|0|4|0|28|2|SELECT calls.* FROM calls  WHERE calls.id = 'c94a263b-747b-d4f1-f2f5-589c85af76fe' AND calls.deleted=0 LIMIT 0,1
22|1|2|0|0|4|0|18|2|SELECT eapm.* FROM eapm  WHERE eapm.id = 'adf4ad9c-6e3a-2ab1-a0fe-589c85e35558' AND eapm.deleted=0 LIMIT 0,1
23|2|4|0|1|9|0|28|5|SELECT r1.name from releases r1, bugs i1 where r1.id = i1.found_in_release and i1.id = '' and i1.deleted=0 and r1.deleted=0
24|1|1|0|0|3|0|16|1|SELECT id FROM notes WHERE parent_id = 'b3cd04d9-5080-4707-0979-589c859a71d7'
25|1|2|0|0|5|0|7|2|SELECT user_id id FROM meetings_users  WHERE meetings_users.meeting_id = '259c2f1b-922d-ab63-b5d9-589c85cea2d8' AND meetings_users.deleted=0
26|2|3|0|1|6|0|23|3|SELECT cases.*,cases_cstm.* FROM cases  LEFT JOIN cases_cstm ON cases.id = cases_cstm.id_c  WHERE cases.id = '610b3ee0-80df-4b8f-54d1-589c8545f8c6' AND cases.deleted=0 LIMIT 0,1
27|1|2|0|0|4|0|39|2|SELECT aos_contracts.* FROM aos_contracts  WHERE aos_contracts.id = 'b5053637-72bf-2991-1f1f-589c85d9d496' AND aos_contracts.deleted=0 LIMIT 0,1
28|1|4|0|0|9|0|8|4|SELECT id FROM securitygroups_records WHERE record_id = '1' AND module = 'Calls' AND securitygroup_id = '1' AND deleted=0 LIMIT 0,1
29|2|4|0|1|6|0|16|5|SELECT acl_actions.* ,acl_roles_actions.access_override  FROM acl_actions  LEFT JOIN acl_roles_actions ON acl_roles_actions.role_id = '1' AND  acl_roles_actions.action_id = acl_actions.id AND acl_roles_actions.deleted = 0 WHERE acl_actions.deleted=0 ORDER BY acl_actions.category, acl_actions.name
30|1|2|0|0|5|0|12|2|SELECT id FROM aor_charts WHERE aor_charts.aor_report_id = '22761e76-c3df-05f1-f67d-589c854aac22' AND aor_charts.deleted=0
31|1|2|0|0|4|0|12|2|SELECT aop_case_updates.* FROM aop_case_updates  WHERE aop_case_updates.id = 'c48c392a-a6f9-8a1c-5e13-589c85e693dc' AND aop_case_updates.deleted=0 LIMIT 0,1
32|1|3|0|0|7|0|39|3|SELECT id FROM users WHERE deleted=0 AND is_group=0 AND portal_only=0
33|1|2|0|0|4|0|22|2|SELECT documents.* FROM documents  WHERE documents.id = '' AND documents.deleted=0 LIMIT 0,1
34|1|2|0|0|5|0|23|2|SELECT id FROM aor_fields WHERE aor_fields.aor_report_id = '' AND aor_fields.deleted=0
35|1|2|0|0|5|0|5|2|SELECT role_id id FROM securitygroups_acl_roles  WHERE securitygroups_acl_roles.securitygroup_id = 'ab4403a6-3576-eee1-ba12-589c85486314' AND securitygroups_acl_roles.deleted=0
36|1|2|0|0|5|0|34|2|SELECT id FROM aos_products_quotes WHERE aos_products_quotes.parent_id = '1' AND aos_products_quotes.deleted=0
